Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,68228,2007,01,27.4,N
IDCJAC0001,68228,2007,02,177.8,N
IDCJAC0001,68228,2007,03,97.2,N
IDCJAC0001,68228,2007,04,195.2,N
IDCJAC0001,68228,2007,05,16.2,N
IDCJAC0001,68228,2007,06,345.8,N
IDCJAC0001,68228,2007,07,30.6,N
IDCJAC0001,68228,2007,08,123.6,N
IDCJAC0001,68228,2007,09,57.6,N
IDCJAC0001,68228,2007,10,21.6,N
IDCJAC0001,68228,2007,11,173.4,N
IDCJAC0001,68228,2007,12,159.6,N
IDCJAC0001,68228,2008,01,90.6,N
IDCJAC0001,68228,2008,02,355.2,N
IDCJAC0001,68228,2008,03,50.8,N
IDCJAC0001,68228,2008,04,108.4,N
IDCJAC0001,68228,2008,05,4.0,N
IDCJAC0001,68228,2008,06,137.2,N
IDCJAC0001,68228,2008,07,61.0,N
IDCJAC0001,68228,2008,08,52.6,N
IDCJAC0001,68228,2008,09,59.4,N
IDCJAC0001,68228,2008,10,84.8,N
IDCJAC0001,68228,2008,11,27.4,N
IDCJAC0001,68228,2008,12,93.6,N
IDCJAC0001,68228,2009,01,16.8,N
IDCJAC0001,68228,2009,02,114.4,N
IDCJAC0001,68228,2009,03,21.8,N
IDCJAC0001,68228,2009,04,162.2,N
IDCJAC0001,68228,2009,05,109.0,N
IDCJAC0001,68228,2009,06,166.6,N
IDCJAC0001,68228,2009,07,59.2,N
IDCJAC0001,68228,2009,08,4.8,N
IDCJAC0001,68228,2009,09,16.8,N
IDCJAC0001,68228,2009,10,142.4,N
IDCJAC0001,68228,2009,11,68.0,N
IDCJAC0001,68228,2009,12,76.0,N
IDCJAC0001,68228,2010,01,41.6,N
IDCJAC0001,68228,2010,02,137.4,N
IDCJAC0001,68228,2010,03,146.2,N
IDCJAC0001,68228,2010,04,12.6,N
IDCJAC0001,68228,2010,05,95.6,N
IDCJAC0001,68228,2010,06,102.6,N
IDCJAC0001,68228,2010,07,56.0,N
IDCJAC0001,68228,2010,08,42.0,N
IDCJAC0001,68228,2010,09,105.6,N
IDCJAC0001,68228,2010,10,94.8,N
IDCJAC0001,68228,2010,11,191.2,N
IDCJAC0001,68228,2010,12,125.4,N
IDCJAC0001,68228,2011,04,97.4,N
IDCJAC0001,68228,2011,05,93.2,N
IDCJAC0001,68228,2011,06,116.8,N
IDCJAC0001,68228,2011,07,223.0,N
IDCJAC0001,68228,2011,08,65.8,N
IDCJAC0001,68228,2011,09,90.2,N
IDCJAC0001,68228,2011,12,97.4,N
IDCJAC0001,68228,2012,01,121.4,N
IDCJAC0001,68228,2012,02,311.8,N
IDCJAC0001,68228,2012,03,243.6,N
IDCJAC0001,68228,2012,04,145.8,N
IDCJAC0001,68228,2012,05,16.8,N
IDCJAC0001,68228,2012,06,164.8,N
IDCJAC0001,68228,2012,07,48.6,N
IDCJAC0001,68228,2012,08,6.2,N
IDCJAC0001,68228,2012,09,19.0,N
IDCJAC0001,68228,2012,10,92.4,N
IDCJAC0001,68228,2012,11,50.6,N
IDCJAC0001,68228,2012,12,34.2,N
IDCJAC0001,68228,2013,01,241.0,N
IDCJAC0001,68228,2013,02,177.8,N
IDCJAC0001,68228,2013,03,68.2,N
IDCJAC0001,68228,2013,04,175.6,N
IDCJAC0001,68228,2013,05,144.2,N
IDCJAC0001,68228,2013,06,310.0,N
IDCJAC0001,68228,2013,07,27.8,N
IDCJAC0001,68228,2013,08,5.2,N
IDCJAC0001,68228,2013,09,81.4,N
IDCJAC0001,68228,2013,10,8.4,N
IDCJAC0001,68228,2013,11,253.6,N
IDCJAC0001,68228,2013,12,128.4,N
IDCJAC0001,68228,2014,01,57.8,N
IDCJAC0001,68228,2014,02,57.0,N
IDCJAC0001,68228,2014,03,290.4,N
IDCJAC0001,68228,2014,04,89.0,N
IDCJAC0001,68228,2014,05,8.4,N
IDCJAC0001,68228,2014,06,42.0,N
IDCJAC0001,68228,2014,07,2.6,N
IDCJAC0001,68228,2014,08,279.8,N
IDCJAC0001,68228,2014,09,37.4,N
IDCJAC0001,68228,2014,10,93.8,N
IDCJAC0001,68228,2014,11,47.4,N
IDCJAC0001,68228,2014,12,110.4,N
IDCJAC0001,68228,2015,01,170.8,N
IDCJAC0001,68228,2015,02,96.2,N
IDCJAC0001,68228,2015,03,71.8,N
IDCJAC0001,68228,2015,07,53.8,N
IDCJAC0001,68228,2015,08,245.2,N
IDCJAC0001,68228,2015,09,52.6,N
IDCJAC0001,68228,2015,10,26.4,N
IDCJAC0001,68228,2015,11,173.0,N
IDCJAC0001,68228,2015,12,100.0,N
IDCJAC0001,68228,2016,01,177.8,N
IDCJAC0001,68228,2016,02,49.6,N
IDCJAC0001,68228,2016,03,204.2,N
IDCJAC0001,68228,2016,04,54.6,N
IDCJAC0001,68228,2016,05,9.8,N
IDCJAC0001,68228,2016,06,436.6,N
IDCJAC0001,68228,2016,07,108.0,N
IDCJAC0001,68228,2016,08,112.0,N
IDCJAC0001,68228,2016,09,47.4,N
IDCJAC0001,68228,2016,10,6.2,N
IDCJAC0001,68228,2016,11,28.6,N
IDCJAC0001,68228,2016,12,47.6,N
IDCJAC0001,68228,2017,01,36.0,N
IDCJAC0001,68228,2017,02,131.2,N
IDCJAC0001,68228,2017,03,368.6,N
IDCJAC0001,68228,2017,04,76.2,N
IDCJAC0001,68228,2017,07,2.4,N
IDCJAC0001,68228,2017,08,21.6,N
IDCJAC0001,68228,2017,09,0.4,N
IDCJAC0001,68228,2017,10,52.6,N
IDCJAC0001,68228,2017,11,75.2,N
IDCJAC0001,68228,2017,12,59.6,N
IDCJAC0001,68228,2018,03,78.2,N
IDCJAC0001,68228,2018,04,22.6,N
IDCJAC0001,68228,2018,05,8.2,N
IDCJAC0001,68228,2018,06,118.8,N
IDCJAC0001,68228,2018,07,1.6,N
IDCJAC0001,68228,2018,08,29.4,N
IDCJAC0001,68228,2018,09,54.6,N
IDCJAC0001,68228,2018,10,129.2,N
IDCJAC0001,68228,2018,11,100.6,N
IDCJAC0001,68228,2018,12,103.0,N
IDCJAC0001,68228,2019,01,68.2,N
IDCJAC0001,68228,2019,02,89.2,N
IDCJAC0001,68228,2019,03,187.0,N
IDCJAC0001,68228,2019,04,53.2,N
